City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Samarai,PG,78.62,moderate rain,-10.62,150.67,Nuli Sapi
238,Muisne,EC,77.02,broken clouds,0.6,-80.03,Quinta Samay
240,Santa Isabel Do Rio Negro,BR,84.92,broken clouds,-0.41,-65.02,Hotel GSA
243,Guanare,VE,86.83,few clouds,9.04,-69.74,Nuevo Hotel Coromoto
248,Puerto Escondido,MX,87.8,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
252,Manta,EC,78.8,broken clouds,-0.95,-80.73,Balandra Hotel
259,Hirara,JP,79.34,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
264,San Jose,US,88.0,clear sky,37.34,-121.89,The Westin San Jose
265,Pemangkat,ID,77.13,light rain,1.17,108.97,Kost H.Syamsuddin
267,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
269,Oussouye,SN,84.2,few clouds,12.48,-16.55,Auberge du Routard
271,Sorong,ID,80.1,overcast clouds,-0.88,131.25,The Waigo Hotel
273,Maragogi,BR,77.76,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
278,Bud,US,75.99,clear sky,39.45,-86.18,Madsion Scouts Camp
280,Jalingo,NG,76.55,light rain,8.88,11.37,Debright Motel
283,Coahuayana,MX,82.4,few clouds,18.73,-103.68,Hotel Los Arcos
284,San Cristobal,VE,82.4,shower rain,7.77,-72.22,Pirineos
285,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
286,Kpandu,GH,77.85,light rain,7.0,0.29,Emo House
290,Sapa,PH,81.5,broken clouds,5.15,120.32,
291,Caravelas,BR,77.0,clear sky,-17.71,-39.25,Pousada dos Navegantes
292,Carauari,BR,84.38,moderate rain,-4.88,-66.9,Pousada Lobo
294,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
298,Belmonte,BR,80.6,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
299,Lorengau,PG,81.28,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
301,Tabou,CI,77.14,scattered clouds,4.42,-7.35,hotêl doufoulougou
302,Manggar,ID,77.18,moderate rain,-2.88,108.27,Guest Hotel
305,Muli,MV,81.68,light rain,2.92,73.57,Medhufushi Island Resort
307,San Alberto,CO,84.49,light rain,7.76,-73.39,Hotel San Alberto Plaza
312,Pasighat,IN,75.47,clear sky,28.07,95.33,Siang Guest House
314,Marsa Matruh,EG,77.0,few clouds,31.35,27.25,Beau Site
315,Lumberton,US,77.0,clear sky,34.62,-79.01,"Country Inn & Suites by Radisson, Lumberton, NC"
323,Opuwo,,75.65,clear sky,-18.06,13.84,ABBA Guesthouse
324,Le Moule,GP,82.4,clear sky,16.33,-61.35,Lakaz Hananou
325,Ransang,PH,76.5,heavy intensity rain,8.96,117.58,
326,Gizo,SB,81.61,broken clouds,-8.1,156.84,Imagination Island
328,Alangudi,IN,80.6,scattered clouds,10.36,78.98,Nutrition Centre
329,Cabo San Lucas,MX,89.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
330,Johi,PK,78.17,clear sky,26.69,67.61,Mohmmadi masjid chandan mori
338,Guerrero Negro,MX,86.0,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
340,Isangel,VU,77.18,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
347,Gaoual,GN,77.9,light rain,11.75,-13.2,Hotel koliba
