City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Harper,LR,4.38,-7.72,76.73,89,27,7.09,light rain
134,Provideniya,RU,64.38,-173.3,32.0,92,90,8.95,overcast clouds
135,San Ignacio,BZ,17.16,-89.07,87.8,66,40,4.7,scattered clouds
136,Gerash,IR,27.67,54.14,62.6,29,0,2.06,clear sky
137,Qaanaaq,GL,77.48,-69.36,30.56,85,45,6.87,scattered clouds
138,Katobu,ID,-4.94,122.53,75.58,94,100,2.86,overcast clouds
139,Smoky Lake,CA,54.12,-112.47,43.0,63,71,15.01,broken clouds
140,Asmara,ER,15.33,38.93,59.47,71,1,1.21,clear sky
141,Purranque,CL,-40.92,-73.17,64.4,45,0,10.29,clear sky
142,Kodiak,US,57.79,-152.41,42.8,81,1,4.7,clear sky
143,Imbituba,BR,-28.24,-48.67,71.6,68,20,12.75,few clouds
144,Gamboma,CG,-1.88,15.86,72.79,90,88,4.38,overcast clouds
145,Faanui,PF,-16.48,-151.75,78.44,81,8,11.59,light rain
146,Hermanus,ZA,-34.42,19.23,61.0,76,0,5.01,clear sky
147,Ocho Rios,JM,18.4,-77.1,87.01,78,28,8.99,scattered clouds
148,Roura,GF,4.73,-52.33,87.8,58,0,13.87,clear sky
149,Cedar City,US,37.68,-113.06,75.2,12,1,5.82,clear sky
150,Alice Springs,AU,-23.7,133.88,57.2,50,0,4.7,clear sky
151,Portland,US,45.52,-122.68,62.01,72,75,5.82,broken clouds
152,Tual,ID,-5.67,132.75,81.34,82,100,13.4,overcast clouds
153,Kieta,PG,-6.22,155.63,78.98,81,100,1.68,overcast clouds
154,Sept-Iles,CA,50.2,-66.38,46.99,100,90,8.05,light rain
155,Salinas,US,36.68,-121.66,87.01,33,1,9.17,clear sky
156,Barrow,US,71.29,-156.79,24.8,68,90,14.99,overcast clouds
157,Narsaq,GL,60.92,-46.05,41.0,75,40,3.36,scattered clouds
158,Naze,JP,28.37,129.48,73.4,78,20,4.7,few clouds
159,Vila Velha,BR,-20.33,-40.29,84.2,74,20,14.99,few clouds
160,Nouadhibou,MR,20.93,-17.03,77.0,73,13,14.99,light rain
161,Baykit,RU,61.67,96.37,38.57,88,100,12.15,light rain
162,Jiangkou,CN,25.49,119.2,71.6,73,40,20.13,scattered clouds
163,Lazaro Cardenas,MX,17.96,-102.2,86.27,67,19,10.13,few clouds
164,Ponta Delgada,PT,37.73,-25.67,69.8,83,20,10.29,few clouds
165,Phan Thiet,VN,10.93,108.1,77.31,90,100,10.0,overcast clouds
166,Tuktoyaktuk,CA,69.45,-133.04,26.6,79,75,24.16,light snow
167,Touros,BR,-5.2,-35.46,82.4,69,75,14.99,broken clouds
168,Tateyama,JP,34.98,139.87,66.0,72,100,5.99,light rain
169,Loei,TH,17.42,101.5,65.39,100,97,1.23,overcast clouds
170,Havre-Saint-Pierre,CA,50.23,-63.6,46.4,93,90,23.04,light rain
171,Luderitz,NA,-26.65,15.16,72.97,34,0,8.19,clear sky
172,Lukovetskiy,RU,64.3,41.92,32.0,96,1,4.47,clear sky
173,Khartoum,SD,15.55,32.53,90.0,33,48,9.17,scattered clouds
174,Svetlaya,RU,46.54,138.33,34.21,76,0,6.49,clear sky
175,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.2,78,40,13.87,scattered clouds
176,Orastie,RO,45.83,23.2,48.0,81,2,1.12,clear sky
177,Daitari,IN,21.1,85.75,73.17,99,100,5.32,overcast clouds
178,Severo-Kurilsk,RU,50.68,156.12,42.51,71,22,8.66,few clouds
179,Asilah,MA,35.47,-6.03,64.4,59,20,4.7,few clouds
180,Kahului,US,20.89,-156.47,86.0,51,1,0.38,clear sky
181,Shanghai,CN,31.22,121.46,69.01,68,40,8.95,scattered clouds
182,Seymchan,RU,62.88,152.43,30.78,94,100,1.14,overcast clouds
183,Los Llanos De Aridane,ES,28.66,-17.92,73.4,78,40,11.41,scattered clouds
184,Ponta Do Sol,PT,32.67,-17.1,71.6,73,75,10.29,broken clouds
185,Sinnamary,GF,5.38,-52.95,84.45,65,0,11.21,clear sky
186,Boden,SE,65.83,21.69,33.8,86,59,1.12,broken clouds
187,Kavieng,PG,-2.57,150.8,80.73,77,15,4.72,few clouds
188,Adrar,MR,20.5,-10.07,94.26,20,50,6.67,scattered clouds
189,Nantucket,US,41.28,-70.1,66.2,59,1,14.99,clear sky
190,Aripuana,BR,-9.17,-60.63,89.78,48,92,3.2,overcast clouds
191,Bima,ID,-8.47,118.72,76.55,83,41,3.33,scattered clouds
192,Malakal,SS,9.53,31.66,72.75,86,7,3.96,clear sky
193,Westport,US,41.14,-73.36,69.01,49,1,13.87,clear sky
194,Grinnell,US,41.74,-92.72,77.0,23,1,14.99,clear sky
195,Omboue,GA,-1.57,9.26,75.78,80,98,8.97,overcast clouds
196,Komsomolskiy,UZ,40.43,71.72,51.8,71,0,6.93,mist
